participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,final_capital,total_profit,validator_count
builder_0,builder,True,False,64000000000.0,64000000000.0,65683463655.51999,1683463655.5199997,2.0
builder_1,builder,True,False,32000000000.0,32000000000.0,33795543566.11999,1795543566.12,1.0
builder_2,builder,True,True,256000000000.0,256000000000.0,257279251394.38007,1279251394.3799999,8.0
builder_3,builder,True,True,32000000000.0,32000000000.0,34451329496.540016,1225664748.2700007,1.0
builder_4,builder,True,True,32000000000.0,32000000000.0,33379308475.340008,1379308475.34,1.0
builder_5,builder,True,False,256000000000.0,256000000000.0,258134212873.48,2134212873.48,8.0
builder_6,builder,True,True,32000000000.0,32000000000.0,33649186021.070007,1649186021.0699997,1.0
builder_7,builder,True,False,256000000000.0,256000000000.0,259842159701.68018,1921079850.8399992,8.0
builder_8,builder,True,False,96000000000.0,96000000000.0,100544150853.59991,2272075426.7999997,3.0
builder_9,builder,True,False,64000000000.0,64000000000.0,65666065004.37998,1666065004.3800004,2.0
builder_10,builder,False,True,32000000000.0,32000000000.0,32700828939.800014,700828939.8,1.0
builder_11,builder,False,True,256000000000.0,256000000000.0,258688391157.76,1344195578.8800004,8.0
builder_12,builder,False,True,256000000000.0,256000000000.0,258239213641.47992,1119606820.7399998,8.0
builder_13,builder,False,True,32000000000.0,32000000000.0,33248610354.20001,1248610354.2000003,1.0
builder_14,builder,False,False,96000000000.0,96000000000.0,97113825499.65004,1113825499.65,3.0
builder_15,builder,False,True,32000000000.0,32000000000.0,33063343455.200005,1063343455.2,1.0
builder_16,builder,False,True,32000000000.0,32000000000.0,33823372292.600006,911686146.3,1.0
builder_17,builder,False,True,64000000000.0,64000000000.0,65282159978.2,1282159978.1999998,2.0
builder_18,builder,False,True,64000000000.0,64000000000.0,65054794414.78001,1054794414.78,2.0
builder_19,builder,False,True,64000000000.0,64000000000.0,66130134469.84001,1065067234.92,2.0
proposer_0,proposer,True,True,160000000000.0,160000000000.0,160279024072.25995,139512036.13,5.0
proposer_1,proposer,True,True,64000000000.0,64000000000.0,64275274963.01999,137637481.51,2.0
proposer_2,proposer,True,True,160000000000.0,160000000000.0,160329383577.1599,164691788.58,5.0
proposer_3,proposer,True,True,160000000000.0,160000000000.0,160359061647.61987,179530823.81000003,5.0
proposer_4,proposer,True,False,64000000000.0,64000000000.0,64141222422.62001,141222422.61999997,2.0
proposer_5,proposer,True,False,32000000000.0,32000000000.0,32132501382.22001,132501382.22000004,1.0
proposer_6,proposer,True,True,160000000000.0,160000000000.0,160382738294.40002,191369147.20000002,5.0
proposer_7,proposer,True,False,32000000000.0,32000000000.0,32311480200.48001,155740100.23999998,1.0
proposer_8,proposer,True,False,160000000000.0,160000000000.0,160212559225.24002,212559225.23999995,5.0
proposer_9,proposer,True,False,160000000000.0,160000000000.0,160355185305.35986,177592652.68000007,5.0
proposer_10,proposer,False,False,160000000000.0,160000000000.0,160310023593.1601,155011796.57999995,5.0
proposer_11,proposer,False,True,64000000000.0,64000000000.0,64136269144.50001,136269144.5,2.0
proposer_12,proposer,False,True,32000000000.0,32000000000.0,32186199974.55999,93099987.28000002,1.0
proposer_13,proposer,False,True,32000000000.0,32000000000.0,32119525482.96001,119525482.96000002,1.0
proposer_14,proposer,False,True,64000000000.0,64000000000.0,64268710185.76004,134355092.88000003,2.0
proposer_15,proposer,False,False,320000000000.0,320000000000.0,320398404069.8401,199202034.92000008,10.0
proposer_16,proposer,False,False,32000000000.0,32000000000.0,32293938712.75998,146969356.38,1.0
proposer_17,proposer,False,True,32000000000.0,32000000000.0,32135903569.84,135903569.84,1.0
proposer_18,proposer,False,False,32000000000.0,32000000000.0,32195256076.319992,97628038.16,1.0
proposer_19,proposer,False,False,320000000000.0,320000000000.0,320250786151.69977,250786151.70000002,10.0
